gvkey,company,fiscal_year,datadate,revenue,net_income,total_assets,current_assets,current_liabilities,total_liabilities,shareholders_equity,roa,net_profit_margin,current_ratio,debt_to_equity,asset_turnover
002184,BEST BUY CO INC,2016,2017-01-31,39403.0,1228.0,13856.0,10516.0,7122.0,9147.0,4709.0,0.0886,0.0312,1.4766,1.9425,2.8438
002184,BEST BUY CO INC,2017,2018-01-31,42151.0,1000.0,13049.0,9829.0,7817.0,9437.0,3612.0,0.0766,0.0237,1.2574,2.6127,3.2302
002184,BEST BUY CO INC,2018,2019-01-31,42879.0,1464.0,12901.0,8870.0,7513.0,9595.0,3306.0,0.1135,0.0341,1.1806,2.9023,3.3237
002184,BEST BUY CO INC,2019,2020-01-31,43638.0,1541.0,15591.0,8857.0,8060.0,12112.0,3479.0,0.0988,0.0353,1.0989,3.4815,2.7989
002184,BEST BUY CO INC,2020,2021-01-31,47262.0,1798.0,19067.0,12540.0,10521.0,14480.0,4587.0,0.0943,0.038,1.1919,3.1567,2.4787
002184,BEST BUY CO INC,2021,2022-01-31,51761.0,2454.0,17504.0,10539.0,10674.0,14484.0,3020.0,0.1402,0.0474,0.9874,4.796,2.9571
002184,BEST BUY CO INC,2022,2023-01-31,46298.0,1419.0,15803.0,8802.0,8979.0,13008.0,2795.0,0.0898,0.0306,0.9803,4.654,2.9297
002184,BEST BUY CO INC,2023,2024-01-31,43452.0,1241.0,14967.0,7897.0,7909.0,11914.0,3053.0,0.0829,0.0286,0.9985,3.9024,2.9032
002184,BEST BUY CO INC,2024,2025-01-31,41528.0,927.0,14782.0,8224.0,8016.0,11974.0,2808.0,0.0627,0.0223,1.0259,4.2642,2.8094
002184,BEST BUY CO INC,2025,2026-01-31,41691.0,1069.0,14670.0,8504.0,7679.0,11706.0,2964.0,0.0729,0.0256,1.1074,3.9494,2.8419
029028,COSTCO WHOLESALE CORP,2016,2016-08-31,118719.0,2350.0,33163.0,15218.0,15575.0,20831.0,12079.0,0.0709,0.0198,0.9771,1.7246,3.5799
029028,COSTCO WHOLESALE CORP,2017,2017-08-31,129025.0,2679.0,36347.0,17317.0,17495.0,25268.0,10778.0,0.0737,0.0208,0.9898,2.3444,3.5498
029028,COSTCO WHOLESALE CORP,2018,2018-08-31,141576.0,3134.0,40830.0,20289.0,19926.0,27727.0,12799.0,0.0768,0.0221,1.0182,2.1663,3.4675
029028,COSTCO WHOLESALE CORP,2019,2019-08-31,152703.0,3659.0,45400.0,23485.0,23237.0,29816.0,15243.0,0.0806,0.024,1.0107,1.956,3.3635
029028,COSTCO WHOLESALE CORP,2020,2020-08-31,166761.0,4002.0,55556.0,28120.0,24844.0,36851.0,18284.0,0.072,0.024,1.1319,2.0155,3.0017
029028,COSTCO WHOLESALE CORP,2021,2021-08-31,195929.0,5007.0,59268.0,29505.0,29441.0,41190.0,17564.0,0.0845,0.0256,1.0022,2.3451,3.3058
029028,COSTCO WHOLESALE CORP,2022,2022-08-31,226954.0,5844.0,64166.0,32696.0,31998.0,43519.0,20642.0,0.0911,0.0257,1.0218,2.1083,3.537
029028,COSTCO WHOLESALE CORP,2023,2023-08-31,242290.0,6292.0,68994.0,35879.0,33583.0,43936.0,25058.0,0.0912,0.026,1.0684,1.7534,3.5118
029028,COSTCO WHOLESALE CORP,2024,2024-08-31,254453.0,7367.0,69831.0,34246.0,35464.0,46209.0,23622.0,0.1055,0.029,0.9657,1.9562,3.6438
029028,COSTCO WHOLESALE CORP,2025,2025-08-31,275235.0,8099.0,77099.0,38380.0,37108.0,47935.0,29164.0,0.105,0.0294,1.0343,1.6436,3.5699
004016,DOLLAR GENERAL CORP,2016,2017-01-31,21986.598,1251.133,11672.298,3677.771,2622.805,6266.004,5406.294,0.1072,0.0569,1.4022,1.159,1.8837
004016,DOLLAR GENERAL CORP,2017,2018-01-31,23470.967,1538.96,12516.911,4247.852,2964.878,6391.137,6125.774,0.123,0.0656,1.4327,1.0433,1.8751
004016,DOLLAR GENERAL CORP,2018,2019-01-31,25625.043,1589.472,13204.038,4663.02,3015.857,6786.645,6417.393,0.1204,0.062,1.5462,1.0575,1.9407
004016,DOLLAR GENERAL CORP,2019,2020-01-31,27753.973,1712.555,22825.084,5177.868,4543.56,16122.584,6702.5,0.075,0.0617,1.1396,2.4055,1.2159
